Airline,Sentiment,Word,Count
Air France,Negative,flight,249
Air France,Negative,air,154
Air France,Negative,france,153
Air France,Negative,paris,145
Air France,Negative,service,100
Air France,Negative,baggage,68
Air France,Negative,luggage,65
Air France,Negative,one,65
Air France,Negative,customer,58
Air France,Negative,time,58
Air France,Negative,airline,54
Air France,Negative,never,52
Air France,Negative,experience,49
Air France,Negative,airport,49
Air France,Negative,via,49
Air France,Negative,food,48
Air France,Negative,worst,47
Air France,Negative,lost,46
Air France,Negative,bag,44
Air France,Negative,hours,44
Air France,Negative,still,42
Air France,Negative,arrived,42
Air France,Negative,even,42
Air France,Negative,staff,42
Air France,Negative,told,40
Air France,Negative,said,40
Air France,Negative,days,39
Air France,Negative,terrible,38
Air France,Negative,would,37
Air France,Negative,poor,37
Air France,Negative,class,37
Air France,Negative,hour,36
Air France,Negative,get,36
Air France,Negative,business,35
Air France,Negative,take,35
Air France,Negative,back,33
Air France,Negative,cdg,32
Air France,Negative,also,31
Air France,Negative,day,31
Air France,Negative,delayed,30
Air France,Negative,boarding,29
Air France,Negative,bad,29
Air France,Negative,next,29
Air France,Negative,plane,29
Air France,Negative,check,28
Air France,Negative,que,27
Air France,Negative,call,26
Air France,Negative,like,26
Air France,Negative,late,26
Air France,Negative,bags,26
Air France,Negative,made,26
Air France,Negative,line,26
Air France,Negative,got,26
Air France,Negative,another,26
Air France,Negative,ever,26
Air France,Negative,help,25
Air France,Negative,long,24
Air France,Negative,rude,24
Air France,Negative,minutes,23
Air France,Negative,passengers,23
Air France,Negative,trip,23
Air France,Negative,two,23
Air France,Negative,phone,22
Air France,Negative,flights,22
Air France,Negative,crew,22
Air France,Negative,without,21
Air France,Negative,seat,21
Air France,Negative,due,21
Air France,Negative,cabin,21
Air France,Negative,nothing,20
Air France,Negative,could,20
Air France,Negative,took,20
Air France,Negative,last,20
Air France,Negative,connecting,20
Air France,Negative,seats,20
Air France,Negative,horrible,20
Air France,Negative,asked,20
Air France,Negative,make,20
Air France,Negative,delay,19
Air France,Negative,gate,19
Air France,Negative,put,19
Air France,Negative,old,18
Air France,Negative,refund,18
Air France,Negative,new,17
Air France,Negative,economy,17
Air France,Negative,waiting,17
Air France,Negative,fly,17
Air France,Negative,missing,17
Air France,Negative,connection,17
Air France,Negative,checked,17
Air France,Negative,flying,17
Air France,Negative,ticket,17
Air France,Negative,called,17
Air France,Negative,wait,17
Air France,Negative,paid,17
Air France,Negative,already,17
Air France,Negative,las,17
Air France,Negative,served,16
Air France,Negative,found,16
Air France,Negative,clothes,16
Air France,Negative,claim,16
Air France,Negative,people,16
Air France,Negative,arrive,16
Air France,Negative,times,15
Air France,Negative,flew,15
Air France,Negative,received,15
Air France,Negative,company,15
Air France,Negative,way,15
Air France,Negative,nos,15
Air France,Negative,hotel,14
Air France,Negative,security,14
Air France,Negative,left,14
Air France,Negative,compensation,14
Air France,Negative,carry,14
Air France,Negative,french,14
Air France,Negative,going,14
Air France,Negative,money,14
Air France,Negative,terminal,14
Air France,Negative,offered,13
Air France,Negative,closed,13
Air France,Negative,quality,13
Air France,Negative,first,13
Air France,Negative,return,13
Air France,Negative,missed,13
Air France,Negative,pay,13
Air France,Negative,online,13
Air France,Negative,communication,12
Air France,Negative,disappointed,12
Air France,Negative,travel,12
Air France,Negative,wanted,12
Air France,Negative,find,12
Air France,Negative,much,12
Air France,Negative,change,12
Air France,Negative,come,12
Air France,Negative,care,12
Air France,Negative,cancelled,12
Air France,Negative,suitcase,12
Air France,Negative,well,12
Air France,Negative,extremely,12
Air France,Negative,use,12
Air France,Negative,really,12
Air France,Negative,madrid,12
Air France,Negative,tried,11
Air France,Negative,wife,11
Air France,Negative,process,11
Air France,Negative,airlines,11
Air France,Negative,send,11
Air France,Negative,small,11
Air France,Negative,ground,11
Air France,Negative,aircraft,11
Air France,Negative,came,11
Air France,Negative,booked,11
Air France,Negative,tickets,11
Air France,Negative,avoid,11
Air France,Negative,san,11
Air France,Negative,departure,11
Air France,Negative,person,11
Air France,Negative,almost,11
Air France,Negative,washington,11
Air France,Negative,maletas,11
Air France,Negative,meal,10
Air France,Negative,see,10
Air France,Negative,extra,10
Air France,Negative,entertainment,10
Air France,Negative,rabat,10
Air France,Negative,board,10
Air France,Negative,however,10
Air France,Negative,recommend,10
Air France,Negative,since,10
Air France,Negative,three,10
Air France,Negative,went,10
Air France,Negative,wrong,10
Air France,Negative,screen,10
Air France,Negative,home,10
Air France,Negative,cannot,10
Air France,Negative,felt,10
Air France,Negative,need,10
Air France,Negative,arrival,10
Air France,Negative,con,10
Air France,Negative,morning,9
Air France,Negative,broken,9
Air France,Negative,everything,9
Air France,Negative,work,9
Air France,Negative,year,9
Air France,Negative,answer,9
Air France,Negative,waited,9
Air France,Negative,informed,9
Air France,Negative,behind,9
Air France,Negative,later,9
Air France,Negative,email,9
Air France,Negative,buy,9
Air France,Negative,jfk,9
Air France,Negative,delta,9
Air France,Negative,booking,9
Air France,Negative,problem,9
Air France,Negative,whole,9
Air France,Negative,desk,9
Air France,Negative,say,9
Air France,Negative,yet,9
Air France,Negative,half,9
Air France,Negative,euros,9
Air France,Negative,given,9
Air France,Negative,francisco,9
Air France,Negative,give,9
Air France,Negative,una,9
Air France,Negative,changed,8
Air France,Negative,someone,8
Air France,Negative,disappointing,8
Air France,Negative,arriving,8
Air France,Negative,front,8
Air France,Negative,around,8
Air France,Negative,saying,8
Air France,Negative,supposed,8
Air France,Negative,end,8
Air France,Negative,denied,8
Air France,Negative,least,8
Air France,Negative,suitcases,8
Air France,Negative,four,8
Air France,Negative,bangkok,8
Air France,Negative,anything,8
Air France,Negative,today,8
Air France,Negative,finally,8
Air France,Negative,totally,8
Air France,Negative,information,8
Air France,Negative,attendants,8
Air France,Negative,toronto,8
Air France,Negative,little,8
Air France,Negative,everyone,8
Air France,Negative,london,8
Air France,Negative,daughter,8
Air France,Negative,voucher,8
Air France,Negative,uncomfortable,8
Air France,Negative,min,8
Air France,Negative,issue,7
Air France,Negative,despite,7
Air France,Negative,ended,7
Air France,Negative,leaving,7
Air France,Negative,services,7
Air France,Negative,complaint,7
Air France,Negative,right,7
Air France,Negative,getting,7
Air France,Negative,possible,7
Air France,Negative,upon,7
Air France,Negative,landed,7
Air France,Negative,catch,7
Air France,Negative,family,7
Air France,Negative,awful,7
Air France,Negative,gave,7
Air France,Negative,offer,7
Air France,Negative,years,7
Air France,Negative,support,7
Air France,Negative,cost,7
Air France,Negative,though,7
Air France,Negative,hand,7
Air France,Negative,casablanca,7
Air France,Negative,checking,7
Air France,Negative,date,7
Air France,Negative,nobody,7
Air France,Negative,pass,7
Air France,Negative,trying,7
Air France,Negative,issues,7
Air France,Negative,reason,7
Air France,Negative,hold,7
Air France,Negative,week,7
Air France,Negative,spent,7
Air France,Negative,total,7
Air France,Negative,second,7
Air France,Negative,tomorrow,7
Air France,Negative,speak,7
Air France,Negative,seems,7
Air France,Negative,leg,7
Air France,Negative,dirty,7
Air France,Negative,los,7
Air France,Negative,mins,7
Air France,Negative,drop,7
Air France,Negative,tunis,7
Air France,Negative,assistance,7
Air France,Negative,anyone,7
Air France,Negative,night,7
Air France,Negative,point,7
Air France,Negative,charles,7
Air France,Negative,gaulle,7
Air France,Negative,passport,7
Air France,Negative,frustrating,6
Air France,Negative,number,6
Air France,Negative,asking,6
Air France,Negative,every,6
Air France,Negative,drinks,6
Air France,Negative,saw,6
Air France,Negative,queue,6
Air France,Negative,landing,6
Air France,Negative,damaged,6
Air France,Negative,website,6
Air France,Negative,impossible,6
Air France,Negative,office,6
Air France,Negative,provided,6
Air France,Negative,definitely,6
Air France,Negative,english,6
Air France,Negative,failed,6
Air France,Negative,including,6
Air France,Negative,breakfast,6
Air France,Negative,instead,6
Air France,Negative,water,6
Air France,Negative,airplane,6
Air France,Negative,international,6
Air France,Negative,low,6
Air France,Negative,know,6
Air France,Negative,fact,6
Air France,Negative,within,6
Air France,Negative,employees,6
Air France,Negative,vacation,6
Air France,Negative,system,6
Air France,Negative,tell,6
Air France,Negative,want,6
Air France,Negative,months,6
Air France,Negative,lot,6
Air France,Negative,expensive,6
Air France,Negative,different,6
Air France,Negative,angeles,6
Air France,Negative,life,6
Air France,Negative,covid,6
Air France,Negative,weather,6
Air France,Negative,coming,6
Air France,Negative,explanation,6
Air France,Negative,choice,6
Air France,Negative,york,6
Air France,Negative,premium,6
Air France,Negative,slightly,6
Air France,Negative,experienced,6
Air France,Negative,worse,6
Air France,Negative,vuelo,6
Air France,Negative,para,6
Air France,Negative,por,6
Air France,Negative,overall,5
Air France,Negative,answered,5
Air France,Negative,options,5
Air France,Negative,recline,5
Air France,Negative,used,5
Air France,Negative,inflight,5
Air France,Negative,limited,5
Air France,Negative,priority,5
Air France,Negative,decided,5
Air France,Negative,sent,5
Air France,Negative,loss,5
Air France,Negative,away,5
Air France,Negative,place,5
Air France,Negative,disappointment,5
Air France,Negative,longer,5
Air France,Negative,pick,5
Air France,Negative,calls,5
Air France,Negative,tasteless,5
Air France,Negative,purchased,5
Air France,Negative,spend,5
Air France,Negative,taking,5
Air France,Negative,may,5
Air France,Negative,miss,5
Air France,Negative,previous,5
Air France,Negative,flown,5
Air France,Negative,klm,5
Air France,Negative,something,5
Air France,Negative,immediately,5
Air France,Negative,takes,5
Air France,Negative,forever,5
Air France,Negative,seem,5
Air France,Negative,disgusting,5
Air France,Negative,drink,5
Air France,Negative,pieces,5
Air France,Negative,option,5
Air France,Negative,seen,5
Air France,Negative,message,5
Air France,Negative,huge,5
Air France,Negative,travelling,5
Air France,Negative,purse,5
Air France,Negative,respect,5
Air France,Negative,march,5
Air France,Negative,minute,5
Air France,Negative,understand,5
Air France,Negative,milan,5
Air France,Negative,unfortunately,5
Air France,Negative,run,5
Air France,Negative,better,5
Air France,Negative,working,5
Air France,Negative,arrogant,5
Air France,Negative,expected,5
Air France,Negative,apart,5
Air France,Negative,impolite,5
Air France,Negative,budapest,5
Air France,Negative,stroller,5
Air France,Negative,johannesburg,5
Air France,Negative,transfer,5
Air France,Negative,course,5
Air France,Negative,singapore,5
Air France,Negative,bus,5
Air France,Negative,august,5
Air France,Negative,imagine,5
Air France,Negative,zurich,5
Air France,Negative,par,5
Air France,Negative,highly,4
Air France,Negative,lack,4
Air France,Negative,technical,4
Air France,Negative,following,4
Air France,Negative,notice,4
Air France,Negative,haul,4
Air France,Negative,mine,4
Air France,Negative,complained,4
Air France,Negative,else,4
Air France,Negative,keep,4
Air France,Negative,ignored,4
Air France,Negative,wifi,4
Air France,Negative,europe,4
Air France,Negative,kids,4
Air France,Negative,attendant,4
Air France,Negative,everyday,4
Air France,Negative,berlin,4
Air France,Negative,manchester,4
Air France,Negative,barely,4
Air France,Negative,upgrade,4
Air France,Negative,cold,4
Air France,Negative,fast,4
Air France,Negative,journey,4
Air France,Negative,especially,4
Air France,Negative,compensated,4
Air France,Negative,contact,4
Air France,Negative,response,4
Air France,Negative,book,4
Air France,Negative,july,4
Air France,Negative,several,4
Air France,Negative,items,4
Air France,Negative,early,4
Air France,Negative,forced,4
Air France,Negative,hrs,4
Air France,Negative,reach,4
Air France,Negative,offering,4
Air France,Negative,deceptive,4
Air France,Negative,future,4
Air France,Negative,menu,4
Air France,Negative,lied,4
Air France,Negative,vegetarian,4
Air France,Negative,yes,4
Air France,Negative,inform,4
Air France,Negative,caused,4
Air France,Negative,wine,4
Air France,Negative,stopped,4
Air France,Negative,try,4
Air France,Negative,hard,4
Air France,Negative,original,4
Air France,Negative,absolutely,4
Air France,Negative,let,4
Air France,Negative,stay,4
Air France,Negative,charge,4
Air France,Negative,happen,4
Air France,Negative,actually,4
Air France,Negative,means,4
Air France,Negative,read,4
Air France,Negative,probably,4
Air France,Negative,far,4
Air France,Negative,great,4
Air France,Negative,european,4
Air France,Negative,review,4
Air France,Negative,train,4
Air France,Negative,weeks,4
Air France,Negative,fill,4
Air France,Negative,using,4
Air France,Negative,ridiculous,4
Air France,Negative,traveled,4
Air France,Negative,code,4
Air France,Negative,available,4
Air France,Negative,knew,4
Air France,Negative,taken,4
Air France,Negative,charged,4
Air France,Negative,short,4
Air France,Negative,lunch,4
Air France,Negative,manager,4
Air France,Negative,rush,4
Air France,Negative,incompetent,4
Air France,Negative,lax,4
Air France,Negative,woman,4
Air France,Negative,case,4
Air France,Negative,winter,4
Air France,Negative,compensate,4
Air France,Negative,waste,4
Air France,Negative,simple,4
Air France,Negative,inedible,4
Air France,Negative,upset,4
Air France,Negative,exit,4
Air France,Negative,clue,4
Air France,Negative,chose,4
Air France,Negative,completely,4
Air France,Negative,simply,4
Air France,Negative,worth,4
Air France,Negative,useless,4
Air France,Negative,rep,4
Air France,Negative,showing,4
Air France,Negative,tells,4
Air France,Negative,rebooked,4
Air France,Negative,test,4
Air France,Negative,happening,4
Air France,Negative,surprise,4
Air France,Negative,rome,4
Air France,Negative,requested,4
Air France,Negative,either,4
Air France,Negative,additional,4
Air France,Negative,tired,4
Air France,Negative,eat,4
Air France,Negative,sitting,4
Air France,Negative,moment,4
Air France,Negative,canceled,4
Air France,Negative,february,4
Air France,Negative,excuse,4
Air France,Negative,middle,4
Air France,Negative,seating,4
Air France,Negative,cancun,4
Air France,Negative,app,4
Air France,Negative,turned,4
Air France,Negative,euro,4
Air France,Negative,member,4
Air France,Negative,city,4
Air France,Negative,slow,4
Air France,Negative,passenger,4
Air France,Negative,customs,4
Air France,Negative,reply,4
Air France,Negative,attitude,4
Air France,Negative,guy,4
Air France,Negative,amsterdam,4
Air France,Negative,orly,4
Air France,Negative,stayed,4
Air France,Negative,employee,4
Air France,Negative,card,4
Air France,Negative,november,4
Air France,Negative,tenemos,4
Air France,Negative,hora,4
Air France,Negative,usb,3
Air France,Negative,galley,3
Air France,Negative,turbulence,3
Air France,Negative,always,3
Air France,Negative,afterwards,3
Air France,Negative,attempt,3
Air France,Negative,regarding,3
Air France,Negative,fully,3
Air France,Negative,compared,3
Air France,Negative,snacks,3
Air France,Negative,soon,3
Air France,Negative,boarded,3
Air France,Negative,lacking,3
Air France,Negative,pasta,3
Air France,Negative,giving,3
Air France,Negative,rushed,3
Air France,Negative,handling,3
Air France,Negative,based,3
Air France,Negative,wedding,3
Air France,Negative,travelled,3
Air France,Negative,stuck,3
Air France,Negative,truly,3
Air France,Negative,details,3
Air France,Negative,amount,3
Air France,Negative,delays,3
Air France,Negative,team,3
Air France,Negative,solution,3
Air France,Negative,avail,3
Air France,Negative,spoke,3
Air France,Negative,etc,3
Air France,Negative,piece,3
Air France,Negative,side,3
Air France,Negative,trays,3
Air France,Negative,request,3
Air France,Negative,significant,3
Air France,Negative,itinerary,3
Air France,Negative,unfair,3
Air France,Negative,chef,3
Air France,Negative,additionally,3
Air France,Negative,chicken,3
Air France,Negative,mother,3
Air France,Negative,less,3
Air France,Negative,travelers,3
Air France,Negative,experiences,3
Air France,Negative,meant,3
Air France,Negative,leave,3
Air France,Negative,issued,3
Air France,Negative,sit,3
Air France,Negative,counter,3
Air France,Negative,contacted,3
Air France,Negative,quite,3
Air France,Negative,sorry,3
Air France,Negative,forms,3
Air France,Negative,form,3
Air France,Negative,followed,3
Air France,Negative,boston,3
Air France,Negative,evening,3
Air France,Negative,holiday,3
Air France,Negative,returning,3
Air France,Negative,difficult,3
Air France,Negative,refused,3
Air France,Negative,champagne,3
Air France,Negative,friendly,3
Air France,Negative,window,3
Air France,Negative,announcements,3
Air France,Negative,considering,3
Air France,Negative,destination,3
Air France,Negative,live,3
Air France,Negative,gym,3
Air France,Negative,policy,3
Air France,Negative,follow,3
Air France,Negative,responsible,3
Air France,Negative,report,3
Air France,Negative,necessity,3
Air France,Negative,purchases,3
Air France,Negative,wrote,3
Air France,Negative,somehow,3
Air France,Negative,fine,3
Air France,Negative,standard,3
Air France,Negative,status,3
Air France,Negative,idea,3
Air France,Negative,talk,3
Air France,Negative,messages,3
Air France,Negative,manner,3
Air France,Negative,movies,3
Air France,Negative,space,3
Air France,Negative,situation,3
Air France,Negative,required,3
Air France,Negative,weighed,3
Air France,Negative,needed,3
Air France,Negative,weight,3
Air France,Negative,start,3
Air France,Negative,close,3
Air France,Negative,look,3
Air France,Negative,airways,3
Air France,Negative,maybe,3
Air France,Negative,single,3
Air France,Negative,stand,3
Air France,Negative,daily,3
Air France,Negative,delivered,3
Air France,Negative,repeatedly,3
Air France,Negative,incredibly,3
Air France,Negative,ahead,3
Air France,Negative,stranded,3
Air France,Negative,enough,3
Air France,Negative,unhelpful,3
Air France,Negative,walk,3
Air France,Negative,wasted,3
Air France,Negative,receive,3
Air France,Negative,representative,3
Air France,Negative,onto,3
Air France,Negative,kept,3
Air France,Negative,part,3
Air France,Negative,looked,3
Air France,Negative,gold,3
Air France,Negative,shocking,3
Air France,Negative,cairo,3
Air France,Negative,belt,3
Air France,Negative,mind,3
Air France,Negative,traveling,3
Air France,Negative,treated,3
